[2025-08-21 19:04:41] [DEBUG] TrafficDQN - Step 79: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 80: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 81: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 82: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 83: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:43] [DEBUG] TrafficDQN - Step 84: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:43] [DEBUG] TrafficDQN - Step 85: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:43] [DEBUG] TrafficDQN - Step 86: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:44] [DEBUG] TrafficDQN - Step 87: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:44] [DEBUG] TrafficDQN - Step 88: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:44] [DEBUG] TrafficDQN - Step 89: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:44] [DEBUG] TrafficDQN - Step 90: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:45] [DEBUG] TrafficDQN - Step 91: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:45] [DEBUG] TrafficDQN - Step 92: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:45] [DEBUG] TrafficDQN - Step 93: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:46] [DEBUG] TrafficDQN - Step 94: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:46] [DEBUG] TrafficDQN - Step 95: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
